,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Hem Shaped,Belt,Placket,Top Type,Arabian Clothing
32,swsweatsh23201201257,,630,0,0,3,0,31,2,75,9,516,63,21,Casual,Grey,"Letter, Graphic",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Embroidery,Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,Letter & Graphic Embroidered Drop Shoulder Sweatshirt,17.99,,,,,
33,swsweatsh23201201198,,630,4,1,630,75,31,2,75,9,516,63,21,Casual,Black,"Letter, Graphic",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Embroidery,Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,Letter & Graphic Embroidered Drop Shoulder Sweatshirt,17.99,,,,,
34,swsweatsh23201201761,,630,4,1,3,0,31,2,75,9,516,63,21,Casual,Violet Purple,"Letter, Graphic",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Embroidery,Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,Letter & Graphic Embroidered Drop Shoulder Sweatshirt,17.99,,,,,
35,swsweatsh23201201840,,630,4,1,3,0,31,2,75,9,516,63,21,Casual,Redwood,"Letter, Graphic",Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,Embroidery,Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,Letter & Graphic Embroidered Drop Shoulder Sweatshirt,17.99,,,,,
36,swtee07201211806,,2624,6,1,18,4,78,11,179,33,2343,518,6,Casual,Mint Green,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Pullovers,"Drawstring, Ruched, Rib-Knit",Spring/Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Drawstring Front Rib-knit Tee,4.99,,,,,
37,swtee07200908997,,2624,6,1,18,4,78,11,179,33,2343,518,6,Casual,Camel,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Pullovers,"Drawstring, Ruched, Rib-Knit",Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Drawstring Front Rib-knit Tee,4.99,,,,,
38,swtee07201110668,,2624,6,1,18,4,78,11,179,33,2343,518,6,Casual,Rust Brown,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Pullovers,"Drawstring, Ruched, Rib-Knit",Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Drawstring Front Rib-knit Tee,4.99,,,,,
39,swtee07201110866,,2624,6,1,18,4,78,11,179,33,2343,518,6,Casual,White,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Pullovers,"Drawstring, Ruched, Rib-Knit",Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Drawstring Front Rib-knit Tee,4.99,,,,,
40,swtee07201110792,,2624,6,1,18,4,78,11,179,33,2343,518,6,Casual,Black,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Pullovers,"Knot, Drawstring, Ruched, Rib-Knit",Spring/Fall,"4% Spandex, 96% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Drawstring Front Rib-knit Tee,4.99,,,,,
41,swtee07201113407,,2624,6,1,18,4,78,11,179,33,2343,518,6,Casual,Light Grey,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Pullovers,"Drawstring, Ruched, Rib-Knit",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Drawstring Front Rib-knit Tee,4.99,,,,,
42,swtop04201121389,,285,0,0,4,1,5,2,22,3,253,26,14,Casual,"Pastel, Baby Pink",Fruit&Vegetable,Crop,,Round Neck,Sleeveless,,Pullovers,,Spring,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Strawberry Pattern Sweater Vest,12.0,,,,,
43,swtop04210105104,,285,0,0,4,1,5,2,22,3,253,26,14,Casual,Mint Green,Fruit&Vegetable,Crop,,Round Neck,Sleeveless,,Pullovers,,Spring,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Strawberry Pattern Sweater Vest,12.0,,,,,
